City,Country Code,Latitude,Longitude,URL,Name,Max Temperature,Humidity,Cloud Cover,Wind Speed,Date
fort nelson,CA,57.42603618809764,-123.0724470107512,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=fort nelson,Canada,75.2,41.0,75.0,3.36,1561518961.0
pangnirtung,CA,69.53481531140378,-65.08372755490667,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=pangnirtung,Canada,51.02,52.0,0.0,2.62,1561518961.0
clyde river,CA,67.79446143137537,-76.17383347163825,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=clyde river,Canada,32.0,75.0,1.0,9.17,1561518961.0
rimbey,CA,52.558220974611494,-114.06078012583124,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=rimbey,Canada,53.6,87.0,75.0,3.36,1561518961.0
sept-iles,CA,55.455660083770674,-65.77279636198966,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sept-iles,Canada,53.6,71.0,40.0,4.7,1561518831.0
kenora,CA,51.68975916682218,-93.86487566420895,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kenora,Canada,66.2,77.0,68.0,5.82,1561518961.0
assiniboia,CA,49.273169448402854,-105.43670148234708,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=assiniboia,Canada,61.1,68.0,48.0,6.2,1561518961.0
humboldt,CA,52.30977129000101,-105.65464980396804,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=humboldt,Canada,57.5,85.0,69.0,4.27,1561518962.0
thessalon,CA,45.929806938892575,-83.99109035577291,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=thessalon,Canada,64.4,72.0,75.0,5.44,1561518962.0
la ronge,CA,56.778279220366926,-104.20060898769805,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=la ronge,Canada,57.2,71.0,75.0,4.7,1561518962.0
alexandria,CA,45.401802162598635,-74.51999869674832,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=alexandria,Canada,73.99,94.0,1.0,8.32,1561518962.0
hare bay,CA,49.60700474199496,-53.36853008920552,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hare bay,Canada,50.0,81.0,75.0,2.24,1561518962.0
dolbeau,CA,54.684106193722755,-71.1248851177521,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=dolbeau,Canada,,,,,
aklavik,CA,77.91727796835292,-141.3013949381509,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=aklavik,Canada,41.0,61.0,90.0,10.29,1561518963.0
mayo,CA,64.68941436221039,-140.9400176115163,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mayo,Canada,73.4,27.0,90.0,5.82,1561518963.0
cape town,ZA,-53.588980050062474,-3.5474661244067818,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=cape town,South Africa,59.0,81.0,0.0,4.7,1561518891.0
bredasdorp,ZA,-59.23155927539632,17.463014286931696,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=bredasdorp,South Africa,60.8,77.0,84.0,10.29,1561518963.0
plettenberg bay,ZA,-49.63453463671088,24.133824334543217,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=plettenberg bay,South Africa,50.3,81.0,0.0,3.67,1561518963.0
hermanus,ZA,-76.22195069248832,-4.420493735673858,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hermanus,South Africa,59.0,90.0,73.0,5.01,1561518964.0
kruisfontein,ZA,-58.17637629976258,27.225485025610446,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kruisfontein,South Africa,54.08,91.0,100.0,13.24,1561518964.0
saldanha,ZA,-44.019339910291045,-5.228751811481317,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=saldanha,South Africa,59.84,79.0,45.0,1.5,1561518964.0
kokstad,ZA,-31.052860848142362,29.328696054204446,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kokstad,South Africa,38.42,95.0,57.0,3.44,1561518964.0
port alfred,ZA,-64.33550015765437,35.41141899012265,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port alfred,South Africa,60.01,93.0,30.0,7.0,1561518964.0
port shepstone,ZA,-30.547808234033702,30.401476873335294,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port shepstone,South Africa,51.92,92.0,0.0,3.49,1561518847.0
port elizabeth,ZA,-56.16856918654378,27.961474943096167,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port elizabeth,South Africa,78.8,65.0,1.0,4.7,1561518964.0
robertson,ZA,-33.06805434165043,20.43866707846746,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=robertson,South Africa,47.78,96.0,78.0,4.36,1561518965.0
east london,ZA,-49.61544858654372,42.83374947581433,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=east london,South Africa,51.74,97.0,43.0,4.16,1561518965.0
butterworth,ZA,-32.657640799870116,28.479009887341533,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=butterworth,South Africa,86.0,79.0,75.0,5.82,1561518965.0
hobart,AU,-46.460062747130756,148.18594496258032,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hobart,Australia,64.99,54.0,0.0,8.05,1561518906.0
carnarvon,AU,-29.453646128881225,87.61828781267657,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=carnarvon,Australia,43.28,34.0,0.0,10.47,1561518965.0
roma,AU,-26.187338768309093,146.90050262078068,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=roma,Australia,75.99,73.0,0.0,2.24,1561518940.0
albany,AU,-83.01773438954767,99.19266122556587,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=albany,Australia,73.4,60.0,20.0,9.17,1561518688.0
busselton,AU,-88.19694744568844,73.81890098446709,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=busselton,Australia,66.0,72.0,0.0,36.69,1561518966.0
biloela,AU,-24.434470078263093,150.85121149467403,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=biloela,Australia,59.3,85.0,100.0,21.43,1561518966.0
new norfolk,AU,-72.79724495724697,127.75189051800841,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=new norfolk,Australia,64.99,54.0,0.0,8.05,1561518966.0
esperance,AU,-42.454969551349976,124.44477024532864,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=esperance,Australia,80.6,74.0,20.0,8.95,1561518966.0
alyangula,AU,-13.414877338030793,135.6426126718079,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=alyangula,Australia,78.8,47.0,57.0,10.29,1561518967.0
colac,AU,-40.0823487121124,144.14314300205388,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=colac,Australia,59.0,70.0,0.0,1.99,1561518970.0
port augusta,AU,-29.38136133666347,137.72164032261549,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port augusta,Australia,64.4,42.0,0.0,8.05,1561518970.0
broome,AU,-16.928379076195725,125.46131114130465,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=broome,Australia,59.0,100.0,100.0,9.17,1561518724.0
portland,AU,-44.12007526830357,138.0491485089077,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=portland,Australia,68.0,63.0,1.0,6.93,1561518546.0
nelson bay,AU,-36.16404433321703,158.65978642763673,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=nelson bay,Australia,66.99,48.0,75.0,11.41,1561518970.0
mildura,AU,-34.473827208743664,142.81645485645123,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mildura,Australia,66.99,55.0,0.0,8.05,1561518970.0
flinders,AU,-36.964834988925965,129.21894641927912,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=flinders,Australia,64.0,55.0,75.0,6.93,1561518970.0
mareeba,AU,-16.112210752611446,142.87112070482624,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mareeba,Australia,77.0,57.0,90.0,13.87,1561518971.0
emerald,AU,-24.070399217038737,147.6026844750323,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=emerald,Australia,69.8,60.0,75.0,14.99,1561518971.0
port hedland,AU,-24.41240655277076,122.42828684032372,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port hedland,Australia,80.6,17.0,22.0,14.99,1561518971.0
port lincoln,AU,-45.85155261582134,130.57732313716235,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port lincoln,Australia,59.48,56.0,0.0,17.18,1561518895.0
ulladulla,AU,-40.88838325498005,157.9320255530646,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ulladulla,Australia,62.6,55.0,75.0,6.93,1561518971.0
wollongong,AU,-34.28984112904399,150.92994007454456,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=wollongong,Australia,66.0,77.0,40.0,12.75,1561518971.0
ngukurr,AU,-16.28666936637623,135.5088696803794,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ngukurr,Australia,,,,,
nhulunbuy,AU,-11.310451328324687,138.3052333715106,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=nhulunbuy,Australia,78.8,54.0,75.0,13.87,1561518972.0
byron bay,AU,-28.881783068868746,156.54076653071854,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=byron bay,Australia,66.0,82.0,75.0,9.17,1561518743.0
yulara,AU,-28.389144758426642,130.64191916316696,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yulara,Australia,62.6,20.0,0.0,10.29,1561518972.0
hervey bay,AU,-24.63092491724838,155.40090809089736,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=hervey bay,Australia,66.99,88.0,90.0,12.75,1561518972.0
karratha,AU,-19.33656636705227,111.41453431045136,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=karratha,Australia,81.62,16.0,98.0,10.63,1561518703.0
broken hill,AU,-30.04070490069155,144.21119528478113,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=broken hill,Australia,62.6,45.0,0.0,12.75,1561518972.0
roebourne,AU,-22.00511813961629,117.71276841492596,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=roebourne,Australia,81.98,15.0,81.0,11.61,1561518972.0
port macquarie,AU,-32.730743739888865,158.4886164790581,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=port macquarie,Australia,63.0,59.0,90.0,9.17,1561518973.0
mount gambier,AU,-41.41672990999203,136.0923397920456,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mount gambier,Australia,57.2,71.0,80.0,12.75,1561518973.0
chokurdakh,RU,87.90437094907122,143.1923798127371,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=chokurdakh,Russian Federation,77.12,25.0,0.0,10.25,1561518973.0
saskylakh,RU,87.39917668407173,119.9513396233578,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=saskylakh,Russian Federation,84.32,27.0,45.0,10.51,1561518973.0
cherskiy,RU,68.09076314005853,158.16889669494032,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=cherskiy,Russian Federation,76.4,15.0,67.0,14.9,1561518973.0
dikson,RU,85.73260632161801,77.34564075685756,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=dikson,Russian Federation,32.84,96.0,87.0,20.67,1561518973.0
amderma,RU,71.3335696589742,62.142508225600274,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=amderma,Russian Federation,,,,,
kytmanovo,RU,53.872486244224994,85.34993054104768,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kytmanovo,Russian Federation,61.82,69.0,71.0,4.97,1561518974.0
verkhnevilyuysk,RU,65.70982138571604,120.40714468037031,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=verkhnevilyuysk,Russian Federation,74.6,51.0,0.0,4.21,1561518974.0
tigil,RU,58.57892290912801,156.5117381590108,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tigil,Russian Federation,61.28,61.0,8.0,15.82,1561518974.0
tiksi,RU,76.23337607561214,129.63291215842702,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tiksi,Russian Federation,59.84,53.0,51.0,4.74,1561518974.0
kholodnyy,RU,60.7846892838362,147.0352226189788,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kholodnyy,Russian Federation,60.56,49.0,31.0,16.08,1561518974.0
mirnyy,RU,63.28559577565261,113.85784149808524,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mirnyy,Russian Federation,57.32,76.0,90.0,6.44,1561518975.0
belushya guba,RU,75.87512989845328,50.99119368943354,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=belushya guba,Russian Federation,,,,,
kamenka,RU,44.49961693048624,136.0747256398457,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kamenka,Russian Federation,64.0,49.0,24.0,8.08,1561518975.0
anadyr,RU,65.81457957789621,176.71689146786576,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=anadyr,Russian Federation,48.2,87.0,90.0,11.18,1561518975.0
lukovetskiy,RU,63.67901481978046,42.22338457657784,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=lukovetskiy,Russian Federation,51.8,87.0,20.0,2.24,1561518975.0
ostrovnoy,RU,70.21762267913016,39.51243036436904,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ostrovnoy,Russian Federation,49.58,63.0,0.0,12.48,1561518975.0
nizhneyansk,RU,88.09239480286631,135.94192617467434,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=nizhneyansk,Russian Federation,,,,,
mys shmidta,RU,87.38588316048086,-177.10649192090824,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mys shmidta,Russian Federation,,,,,
nikolskoye,RU,48.71597946285603,166.16316043213018,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=nikolskoye,Russian Federation,60.01,67.0,0.0,2.24,1561518976.0
tazovskiy,RU,68.07411472566554,79.30293147897459,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tazovskiy,Russian Federation,42.56,58.0,0.0,7.74,1561518976.0
okha,RU,55.38992824790842,145.78914794628594,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=okha,Russian Federation,42.56,92.0,99.0,22.24,1561518976.0
pervomayskiy,RU,58.41243765850904,49.74299643026919,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=pervomayskiy,Russian Federation,56.24,82.0,79.0,4.52,1561518977.0
borogontsy,RU,63.434290197576296,131.68043697574927,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=borogontsy,Russian Federation,74.24,32.0,34.0,4.21,1561518977.0
beringovskiy,RU,59.08128657206993,177.19702842989724,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=beringovskiy,Russian Federation,42.92,96.0,100.0,14.5,1561518977.0
mnogovershinnyy,RU,54.95722295845846,138.9185995707606,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=mnogovershinnyy,Russian Federation,45.08,85.0,100.0,7.92,1561518977.0
kargopol,RU,61.25884816702094,39.366345938737396,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kargopol,Russian Federation,50.84,94.0,99.0,4.99,1561518977.0
oktyabrskiy,RU,57.702768302087094,97.63577406272788,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=oktyabrskiy,Russian Federation,64.0,82.0,0.0,2.24,1561518978.0
provideniya,RU,62.27855546778597,-175.4546209150088,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=provideniya,Russian Federation,50.0,71.0,75.0,22.37,1561518978.0
taldan,RU,53.342380248465396,125.15421107924965,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=taldan,Russian Federation,70.64,45.0,0.0,6.71,1561518978.0
kamen-na-obi,RU,53.61351054044752,81.04986300312589,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kamen-na-obi,Russian Federation,66.86,72.0,0.0,7.65,1561518978.0
khatanga,RU,81.21777245622533,106.1974697322027,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=khatanga,Russian Federation,59.12,62.0,100.0,15.68,1561518978.0
lokosovo,RU,59.81768291310086,74.65909065473335,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=lokosovo,Russian Federation,51.56,66.0,100.0,15.88,1561518978.0
togur,RU,60.604758183942145,83.71661134661882,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=togur,Russian Federation,71.72,62.0,67.0,7.92,1561518979.0
leningradskiy,RU,86.83966859712143,178.86659904710575,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=leningradskiy,Russian Federation,35.0,88.0,78.0,17.31,1561518982.0
gayny,RU,60.01848724102154,53.70734853492246,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=gayny,Russian Federation,54.26,63.0,90.0,3.04,1561518982.0
deputatskiy,RU,76.59368179217171,141.46058181746582,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=deputatskiy,Russian Federation,73.7,32.0,0.0,14.72,1561518982.0
synya,RU,63.8157634325172,59.45385108325578,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=synya,Russian Federation,49.04,63.0,100.0,5.86,1561518982.0
ordynskoye,RU,54.31628688927386,81.57734272794198,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=ordynskoye,Russian Federation,66.5,77.0,0.0,7.92,1561518982.0
dauriya,RU,48.48147664651063,115.78727638046944,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=dauriya,Russian Federation,62.72,93.0,100.0,14.12,1561518983.0
tokur,RU,54.86698176139589,132.78500990471719,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tokur,Russian Federation,57.5,55.0,78.0,7.11,1561518983.0
fevralsk,RU,53.39393691423589,130.67485289926867,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=fevralsk,Russian Federation,,,,,
almaznyy,RU,62.04186230874678,115.57668112128651,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=almaznyy,Russian Federation,69.8,37.0,0.0,13.42,1561518986.0
vrangel,RU,42.73945590165909,133.0967338034758,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=vrangel,Russian Federation,75.5,60.0,70.0,5.99,1561518986.0
staraya kulatka,RU,52.471670208673686,47.68235246334189,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=staraya kulatka,Russian Federation,56.96,79.0,99.0,9.82,1561518986.0
petropavlovsk-kamchatskiy,RU,50.30963602254633,160.37091620555634,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=petropavlovsk-kamchatskiy,Russian Federation,48.2,93.0,90.0,11.18,1561518769.0
pevek,RU,85.16010039338116,168.4292168834933,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=pevek,Russian Federation,35.54,84.0,0.0,24.45,1561518987.0
bilibino,RU,68.12574856038745,167.80291499474697,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=bilibino,Russian Federation,61.82,28.0,0.0,18.43,1561518987.0
tumannyy,RU,72.71144003121447,36.622737255379796,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=tumannyy,Russian Federation,,,,,
vostok,RU,48.06634373104183,148.4779740511454,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=vostok,Russian Federation,72.98,71.0,100.0,5.93,1561518987.0
yar-sale,RU,73.40202558668959,73.20068168403462,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yar-sale,Russian Federation,48.14,57.0,64.0,12.86,1561518806.0
kamenskoye,RU,64.99591531521892,167.9312514689246,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=kamenskoye,Russian Federation,,,,,
yerbogachen,RU,63.479306660123314,107.65621983084787,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=yerbogachen,Russian Federation,78.38,35.0,0.0,9.08,1561518993.0
sentyabrskiy,RU,43.9602017901388,149.93360278896455,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=sentyabrskiy,Russian Federation,,,,,
lavrentiya,RU,76.5834751684857,-170.54876305665996,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=lavrentiya,Russian Federation,51.56,52.0,100.0,9.37,1561518993.0
khasan,RU,39.35879617555554,130.55918979212476,http://api.openweathermap.org/data/2.5/weather?appid=fe26e61e3773caebdade519f9d254704&units=imperial&q=khasan,Russian Federation,81.08,55.0,59.0,7.78,1561518993.0
